,Ticker,Open Price,Date,Volume,Ticker2,Open Price2,Date2,Volume2
1404,BHE,27.42,2019-02-28,14727309.420000002,BHE,26.31,2020-02-28,10675887.629999999
1405,BHE,27.31,2020-03-02,11025238.17,BHE,29.77,2021-03-02,8001521.06
1406,BHE,29.06,2021-03-01,10290116.94,BHE,25.89,2022-03-01,5723217.51
1407,BHE,25.46,2022-02-25,3863555.0,BHE,,,
1408,BHI,,,,BHI,,,
1409,BHI,,,,BHI,,,
1410,BHI,,,,BHI,,,
1411,BHI,,,,BHI,,,
1412,BHI,,,,BHI,,,
1413,BHIL,,,,BHIL,,,
1414,BHIL,2.89,2022-02-10,1388133.47,BHIL,,,
1415,BHR,9.72,2018-03-14,2299897.8000000003,BHR,11.44,2019-03-14,3011374.08
1416,BHR,12.29,2019-03-08,2687245.3699999996,BHR,6.01,2020-03-09,2411043.7199999997
1417,BHR,3.24,2020-03-13,1363362.84,BHR,6.97,2021-03-15,5332398.5
1418,BHR,6.61,2021-03-05,9206368.34,BHR,5.96,2022-03-07,2310245.0
1419,BHR,6.05,2022-03-10,2844673.6999999997,BHR,,,
1420,BID,48.02,2018-03-01,69703863.18,BID,44.25,2019-03-01,30564050.25
1421,BID,42.9,2019-02-28,68154329.1,BID,,,
1422,BIG,43.45,2018-04-03,52758814.900000006,BIG,38.19,2019-04-03,34445203.169999994
1423,BIG,38.43,2019-04-02,43306843.86,BIG,13.53,2020-04-01,23386659.119999997
1424,BIG,13.76,2020-03-31,22902928.32,BIG,68.17,2021-03-31,54491757.67
1425,BIG,67.43,2021-03-30,28536241.140000004,BIG,,,
1426,BIG,,,,BIG,,,
1427,BIIB,348.18,2018-02-01,472898076.0,BIIB,333.75,2019-02-01,394120702.5
1428,BIIB,337.47,2019-02-06,315374826.69,BIIB,338.39,2020-02-06,1222814563.75
1429,BIIB,338.39,2020-02-06,1222814563.75,BIIB,268.14,2021-02-05,284512628.4
1430,BIIB,269.99,2021-02-03,680833783.0,BIIB,215.0,2022-02-03,431077365.0
1431,BIIB,215.0,2022-02-03,431077365.0,BIIB,,,
1432,BILL,,,,BILL,98.97,2020-08-10,182863009.17
1433,BILL,100.51,2020-08-06,57666908.93,BILL,207.35,2021-08-06,175935023.54999998
1434,BILL,290.0,2021-08-30,725783000.0,BILL,,,
1435,BIO,259.89,2018-04-26,12583354.02,BIO,298.75,2019-04-26,67922605.0
1436,BIO,308.44,2019-04-01,61473942.64,BIO,349.26,2020-03-31,62599965.36
1437,BIO,353.83,2020-03-02,93463133.00999999,BIO,598.88,2021-03-02,87086734.08
1438,BIO,661.31,2021-02-16,243534020.6,BIO,612.91,2022-02-16,210318227.76999998
1439,BIO,635.0,2022-02-11,321113785.0,BIO,,,
1440,BJ,,,,BJ,24.8,2019-03-11,123710980.8
1441,BJ,25.88,2019-03-07,47481984.239999995,BJ,23.5,2020-03-06,145178629.0
1442,BJ,30.6,2020-03-19,189170607.6,BJ,40.59,2021-03-19,127433603.88000001
1443,BJ,40.59,2021-03-19,127433603.88000001,BJ,65.46,2022-03-21,131730198.41999999
1444,BJ,63.76,2022-03-17,75624269.52,BJ,,,
1445,BJRI,44.15,2018-02-26,20682023.349999998,BJRI,48.14,2019-02-26,26076956.6
1446,BJRI,48.14,2019-02-26,26076956.6,BJRI,36.38,2020-02-26,24494181.060000002
1447,BJRI,17.16,2020-04-22,9802598.52,BJRI,59.11,2021-04-22,27739672.79
1448,BJRI,57.23,2021-03-01,16325029.19,BJRI,31.71,2022-03-01,10669622.25
1449,BJRI,31.78,2022-02-25,8051463.0,BJRI,,,
1450,BKD,8.0,2018-02-22,160153800.0,BKD,7.41,2019-02-22,25819411.41
1451,BKD,7.0,2019-02-14,35071890.0,BKD,7.12,2020-02-14,4215759.12
1452,BKD,6.93,2020-02-19,44069484.69,BKD,5.19,2021-02-18,6201614.04
1453,BKD,5.72,2021-02-25,29498875.119999997,BKD,6.81,2022-02-25,15958356.51
1454,BKD,5.31,2022-02-15,47289713.04,BKD,,,
1455,BKE,22.0,2018-04-04,20432720.0,BKE,18.6,2019-04-04,9951279.0
1456,BKE,18.74,2019-04-03,4755687.279999999,BKE,12.38,2020-04-02,13793845.520000001
1457,BKE,13.0,2020-04-01,7754487.0,BKE,39.68,2021-04-01,18396441.6
1458,BKE,39.65,2021-03-31,13883288.9,BKE,,,
1459,BKE,,,,BKE,,,
1460,BKH,52.22,2018-02-27,19043798.48,BKH,70.49,2019-02-27,21647408.509999998
1461,BKH,70.07,2019-02-21,53354801.49999999,BKH,84.96,2020-02-21,31587278.4
1462,BKH,85.52,2020-02-18,25669854.24,BKH,61.41,2021-02-17,25478272.08
1463,BKI,48.95,2018-04-26,17252623.3,BKI,55.99,2019-04-26,23290552.23
1464,BKI,52.09,2019-02-22,72611845.21000001,BKI,72.8,2020-02-24,48840064.0
1465,BKI,54.86,2020-03-25,63468466.62,BKI,73.22,2021-03-25,52957536.519999996
1466,BKI,77.76,2021-02-26,108958167.36000001,BKI,56.2,2022-02-28,109552289.80000001
1467,BKI,54.98,2022-02-25,85226587.24,BKI,,,
1468,BKNG,1884.0,2018-02-27,1247047860.0,BKNG,1906.0,2019-02-27,1430632164.0
1469,BKNG,1906.0,2019-02-27,1430632164.0,BKNG,1612.98,2020-02-27,2158184982.78
1470,BKNG,1731.22,2020-02-26,1564754540.9,BKNG,2419.93,2021-02-25,1813376965.4299998
1471,BKNG,2343.77,2021-02-24,1429683293.61,BKNG,2161.61,2022-02-24,3281630928.6200004
1472,BKNG,2536.73,2022-02-23,1314064190.95,BKNG,,,
1473,BKR,28.13,2018-02-23,134823151.79999998,BKR,26.26,2019-02-25,89100048.7
1474,BKR,25.69,2019-02-19,75522126.12,BKR,21.11,2020-02-19,142178615.41
1475,BKR,22.11,2020-02-13,80149369.08,BKR,22.33,2021-02-12,109325692.63
1476,BKR,25.46,2021-02-25,169883835.88,BKR,28.9,2022-02-25,204965649.29999998
1477,BKR,27.67,2022-02-11,279257870.14000005,BKR,,,
1478,BKS,7.05,2017-06-22,22267777.5,BKS,6.3,2018-06-22,11662893.9
1479,BKS,6.0,2018-06-21,9954288.0,BKS,6.64,2019-06-21,27592446.959999997
1480,BKS,6.69,2019-06-19,19300455.990000002,BKS,,,
1481,BKTI,3.6,2018-03-06,131857.2,BKTI,3.93,2019-03-06,77295.24
1482,BKTI,4.35,2019-02-27,12741.15,BKTI,2.51,2020-02-27,12936.539999999999
1483,BKTI,2.16,2020-03-04,16325.28,BKTI,4.65,2021-03-04,257926.2
1484,BKTI,4.52,2021-03-03,167823.08,BKTI,2.44,2022-03-03,14620.48
1485,BKTI,2.44,2022-03-17,23933.96,BKTI,,,
1486,BL,44.38,2018-03-08,11727903.180000002,BL,46.36,2019-03-08,23208789.56
